C,Nodal Load Weights Report
C,Filename: nodal_load_weights_202207_4002.csv
C,Report generated 2023-01-04 03:20:44 EST
H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
H,Date,String,Number,Number,MW,$/MWh,$/MWh,$/MWh,$/MWh
"D","2022-07-01","01","4264","LD.COMERFRD34.5","4","55.38","0.0","-0.82","54.56"
"D","2022-07-01","01","4265","LD.MOORE   13.8","2","55.38","0.0","-0.9","54.48"
"D","2022-07-01","01","4266","LD.SLAYTNHL13.8","12","55.38","0.0","1.09","56.47"
"D","2022-07-01","01","4267","LD.MT_SUPP 13.8","24","55.38","0.0","1.15","56.53"
"D","2022-07-01","01","4331","LD.WILDER  13.8","8","55.38","0.0","1.13","56.51"
"D","2022-07-01","01","4357","LD.PELHAM  13.2","12","55.38","0.0","0.2","55.58"
"D","2022-07-01","01","4376","LD.AMHERST 34.5","40","55.38","0.0","0.04","55.42"
"D","2022-07-01","01","4377","LD.SCOBIE  12.5","14","55.38","0.0","0.0","55.38"
"D","2022-07-01","01","4378","LD.LAWRENCE34.5","19","55.38","0.0","-0.13","55.25"
"D","2022-07-01","01","4379","LD.PEMIGWAS34.5","12","55.38","0.0","0.87","56.25"
"D","2022-07-01","01","4380","LD.RIMMON  34.5","27","55.38","0.0","0.49","55.87"
"D","2022-07-01","01","4381","LD.LOSTNATN34.5","5","55.38","0.0","-1.85","53.53"
"D","2022-07-01","01","4383","LD.BERLN_NH34.5","8","55.38","0.0","-1.85","53.53"
"D","2022-07-01","01","4384","LD.WHITEFLD34.5","11","55.38","0.0","-1.85","53.53"
"D","2022-07-01","01","4385","LD.N_WODSTK34.5","5","55.38","0.0","-0.16","55.22"
"D","2022-07-01","01","4386","LD.BEEBE   34.5","10","55.38","0.0","0.37","55.75"
"D","2022-07-01","01","4387","LD.WHITE_LK34.5","20","55.38","0.0","1.97","57.35"
"D","2022-07-01","01","4388","LD.INTERVAL34.5","9","55.38","0.0","1.89","57.27"
"D","2022-07-01","01","4389","LD.SACO_VLY34.5","9","55.38","0.0","1.89","57.27"
"D","2022-07-01","01","4390","LD.ASHLAND 34.5","17","55.38","0.0","0.67","56.05"
"D","2022-07-01","01","4391","LD.OAK_HILL34.5","30","55.38","0.0","0.66","56.04"
"D","2022-07-01","01","4392","LD.WEBSTER 34.5","18","55.38","0.0","0.92","56.3"
"D","2022-07-01","01","4393","LD.LACONIA 34.5","29","55.38","0.0","0.92","56.3"
"D","2022-07-01","01","4394","LD.NORTH_RD34.5","21","55.38","0.0","0.89","56.27"
"D","2022-07-01","01","4395","LD.GARVINS 34.5","32","55.38","0.0","0.41","55.79"
"D","2022-07-01","01","4396","LD.EDDY    34.5","33","55.38","0.0","0.51","55.89"
"D","2022-07-01","01","4398","LD.PINEHILL34.5","27","55.38","0.0","0.45","55.83"
"D","2022-07-01","01","4399","LD.JACKMAN 34.5","17","55.38","0.0","0.58","55.96"
"D","2022-07-01","01","4400","LD.EMRLD_ST12.5","16","55.38","0.0","0.16","55.54"
"D","2022-07-01","01","4401","LD.SWANZEY 12.5","3","55.38","0.0","0.14","55.52"
"D","2022-07-01","01","4402","LD.CHSTNTHL34.5","8","55.38","0.0","-0.1","55.28"
"D","2022-07-01","01","4403","LD.MONADNCK34.5","20","55.38","0.0","0.03","55.41"
"D","2022-07-01","01","4404","LD.MAMOTHRD34.5","21","55.38","0.0","-0.13","55.25"
"D","2022-07-01","01","4405","LD.RDSFERRY34.5","13","55.38","0.0","0.48","55.86"
"D","2022-07-01","01","4406","LD.S_MILFRD34.5","19","55.38","0.0","0.48","55.86"
"D","2022-07-01","01","4407","LD.ANHEUSBH12.5","5","55.38","0.0","0.42","55.8"
"D","2022-07-01","01","4408","LD.HUDSON  34.5","20","55.38","0.0","0.28","55.66"
"D","2022-07-01","01","4409","LD.BRIDGE_S34.5","22","55.38","0.0","0.28","55.66"
"D","2022-07-01","01","4410","LD.LONGHILL34.5","25","55.38","0.0","0.28","55.66"
"D","2022-07-01","01","4411","LD.HUSE_RD 34.5","33","55.38","0.0","0.0","55.38"
"D","2022-07-01","01","4412","LD.CHESTER 34.5","16","55.38","0.0","0.16","55.54"
"D","2022-07-01","01","4413","LD.OCEAN_RD34.5","15","55.38","0.0","1.41","56.79"
"D","2022-07-01","01","4414","LD.SCHILLER115","3","55.38","0.0","1.46","56.84"
"D","2022-07-01","01","4415","LD.RESITNCE34.5","11","55.38","0.0","1.46","56.84"
"D","2022-07-01","01","4416","LD.KNGSTNPS34.5","5","55.38","0.0","0.62","56.0"
"D","2022-07-01","01","4417","LD.DOVER   34.5","34","55.38","0.0","1.25","56.63"
