NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
SAND POINT,55.339722,-160.497222,FOSSIL FUEL ELECTRIC POWER GENERATION,4,1.8,1.7,6,0
BANKHEAD DAM,33.4591459,-87.35855031,HYDROELECTRIC POWER GENERATION,53.9,53,53,1,1
BARRY,31.00647627,-88.01117466,FOSSIL FUEL ELECTRIC POWER GENERATION,2569.5,2399.7,2430.7,10,1
WALTER BOULDIN DAM,32.58389,-86.28306,HYDROELECTRIC POWER GENERATION,225,224.1,224.1,3,1
GADSDEN,34.01296254,-85.97056826,FOSSIL FUEL ELECTRIC POWER GENERATION,138,130,130,2,1
GORGAS,33.64475552,-87.19909854,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
GREENE COUNTY,32.60197031,-87.78174768,FOSSIL FUEL ELECTRIC POWER GENERATION,1288.4,1256.1,1400.1,11,1
H NEELY HENRY DAM,33.78418393,-86.05259609,HYDROELECTRIC POWER GENERATION,72.9,71.1,68.1,3,1
HOLT DAM,33.25522547,-87.44975551,HYDROELECTRIC POWER GENERATION,46.9,48,48,1,1
JORDAN DAM,32.61880491,-86.2555071,HYDROELECTRIC POWER GENERATION,100,129.2,130,4,0
LOGAN MARTIN DAM,33.42584826,-86.33795881,HYDROELECTRIC POWER GENERATION,128.1,129,119.1,3,1
LAY DAM,32.96334786,-86.51912782,HYDROELECTRIC POWER GENERATION,177,180,181.8,6,1
MARTIN DAM,32.67997389,-85.91145901,HYDROELECTRIC POWER GENERATION,210.6,182.1,172.9,4,1
MITCHELL DAM,32.80492524,-86.44611643,HYDROELECTRIC POWER GENERATION,170,163.1,164.9,4,1
LEWIS SMITH DAM,33.94063549,-87.10797096,HYDROELECTRIC POWER GENERATION,181,178,175,2,1
THURLOW DAM,32.53472465,-85.88926425,HYDROELECTRIC POWER GENERATION,91,79.9,77.9,3,1
WEISS DAM,34.13237881,-85.7938828,HYDROELECTRIC POWER GENERATION,87.6,81,72.9,3,1
YATES DAM,32.57407167,-85.89077026,HYDROELECTRIC POWER GENERATION,50.5,44,45,2,1
E C GASTON,33.24421,-86.45806,FOSSIL FUEL ELECTRIC POWER GENERATION,2034,1868,1872,6,1
MADELIA,44.05001963,-94.4178503,FOSSIL FUEL ELECTRIC POWER GENERATION,11.8,10.6,11.3,5,1
MILLERS FERRY,32.09073685,-87.39791135,HYDROELECTRIC POWER GENERATION,101.1,90,90,3,1
BROWNS FERRY,34.7042,-87.118572,NUCLEAR ELECTRIC POWER GENERATION,3494,3774.5,3866.2,3,1
COLBERT,34.7440289,-87.8493273,FOSSIL FUEL ELECTRIC POWER GENERATION,476,363.2,486.4,8,1
